# world.txt -- gods, beasts, sidekicks and the background tables
#
# One record per line: a tag, then '|' separated fields. A '#' at the
# start of a line is a comment, and blank lines are ignored. The comment
# above each block names the columns.
#
# A field that needs a literal '|' or '\' writes it as '\|' or '\\'.
# A line ending in '\' continues on the next line.
#
# tools/build_data.py turns this file into C. Run `make data` after an
# edit; it checks every cross-reference and refuses to write on an error.

# DEITY | name | title | pantheon | alignment | domains | symbol
BEAST|Warhorse|Large|11|19|4|60 ft|18|12|13|2|12|7|1/2|passive Perception 11
BEAST|Weasel|Tiny|13|1|0|30 ft|3|16|8|2|12|3|0|passive Perception 13
BEAST|Wolf|Medium|13|11|2|40 ft|12|15|12|3|12|6|1/4|passive Perception 13

# SIDEKICKCLASS | name | blurb
SIDEKICKCLASS|Expert|A master of certain tasks or knowledge, favouring cunning over brawn: a scout, a musician, a librarian, a clever street kid or a burglar. Needs a language it can speak.
SIDEKICKCLASS|Spellcaster|Walks the paths of magic: a hedge wizard, a priest, a soothsayer or a magical performer. Needs a language it can speak.
SIDEKICKCLASS|Warrior|Grows in martial prowess: a soldier, a town guard, a battle-trained beast or anything else honed for combat.

# SIDEKICKROLE | name | description
SIDEKICKROLE|Mage|Wizard spell list, Intelligence, an arcane focus
SIDEKICKROLE|Healer|Cleric and druid spell lists, Wisdom, a holy symbol
SIDEKICKROLE|Prodigy|Bard and warlock spell lists, Charisma, an arcane focus or instrument

# SIDEKICKFEATURE | sidekick class | level | name | summary
SIDEKICKFEATURE|Expert|1|Bonus Proficiencies|Proficiency in one saving throw of Dexterity, Intelligence or Charisma; five skills; light armor; and, if a humanoid or armed, all simple weapons and two tools.
SIDEKICKFEATURE|Expert|1|Helpful|The sidekick can take the Help action as a bonus action.
SIDEKICKFEATURE|Expert|2|Cunning Action|On its turn it can take the Dash, Disengage or Hide action as a bonus action.
SIDEKICKFEATURE|Expert|3|Expertise|Choose two of its skill proficiencies; its proficiency bonus is doubled for any ability check using them.
SIDEKICKFEATURE|Expert|4|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Expert|6|Coordinated Strike|When it uses Helpful to aid an ally attacking a creature, the target can be up to 30 feet away, and it deals an extra 2d6 damage the next time it hits that target before the end of the turn.
SIDEKICKFEATURE|Expert|7|Evasion|On a Dexterity save for half damage it takes none on a success and half on a failure. Not while incapacitated.
SIDEKICKFEATURE|Expert|8|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Expert|10|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Expert|11|Inspiring Help|When it takes the Help action, the creature helped adds 1d6 to the d20 roll, or to the damage of a hit if it forgoes the bonus to the attack.
SIDEKICKFEATURE|Expert|12|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Expert|14|Reliable Talent|On any ability check that includes its whole proficiency bonus, treat a d20 roll of 9 or lower as a 10.
SIDEKICKFEATURE|Expert|15|Expertise|Choose two more skill proficiencies to gain the doubled bonus.
SIDEKICKFEATURE|Expert|16|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Expert|18|Sharp Mind|Proficiency in one saving throw of Intelligence, Wisdom or Charisma.
SIDEKICKFEATURE|Expert|19|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Expert|20|Inspiring Help improves|The Inspiring Help bonus increases to 2d6.
SIDEKICKFEATURE|Spellcaster|1|Bonus Proficiencies|Proficiency in one saving throw of Wisdom, Intelligence or Charisma; two skills from Arcana, History, Insight, Investigation, Medicine, Performance, Persuasion and Religion; light armor; and, if a humanoid or armed, all simple weapons.
SIDEKICKFEATURE|Spellcaster|1|Spellcasting|Choose a role -- Mage (wizard list, Intelligence), Healer (cleric and druid, Wisdom) or Prodigy (bard and warlock, Charisma). Spell save DC is 8 + proficiency + the ability modifier.
SIDEKICKFEATURE|Spellcaster|4|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Spellcaster|6|Potent Cantrips|Add its spellcasting ability modifier to the damage of any cantrip.
SIDEKICKFEATURE|Spellcaster|8|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Spellcaster|12|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Spellcaster|14|Empowered Spells|Choose a school of magic; add its spellcasting ability modifier to the damage or healing of any spell of that school cast with a slot.
SIDEKICKFEATURE|Spellcaster|16|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Spellcaster|19|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Spellcaster|20|Focused Casting|Taking damage cannot break its concentration on a spell.
SIDEKICKFEATURE|Warrior|1|Bonus Proficiencies|Proficiency in one saving throw of Strength, Dexterity or Constitution; two skills from Acrobatics, Animal Handling, Athletics, Intimidation, Nature, Perception and Survival; all armor; and, if a humanoid or armed, shields and all simple and martial weapons.
SIDEKICKFEATURE|Warrior|1|Martial Role|Attacker: +2 to all attack rolls. Defender: use its reaction to impose disadvantage on an attack by a creature within 5 feet aimed at someone else.
SIDEKICKFEATURE|Warrior|2|Second Wind|As a bonus action, regain 1d10 + its class level hit points, once per short or long rest.
SIDEKICKFEATURE|Warrior|3|Improved Critical|Its attack rolls score a critical hit on a 19 or 20.
SIDEKICKFEATURE|Warrior|4|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Warrior|6|Extra Attack|Attack twice instead of once when it takes the Attack action. It can use Extra Attack or Multiattack on a turn, not both.
SIDEKICKFEATURE|Warrior|7|Battle Readiness|Advantage on initiative rolls.
SIDEKICKFEATURE|Warrior|8|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Warrior|10|Improved Defense|Its Armor Class increases by 1.
SIDEKICKFEATURE|Warrior|11|Indomitable|Reroll a failed saving throw, using the new roll, once per long rest.
SIDEKICKFEATURE|Warrior|12|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Warrior|14|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Warrior|15|Extra Attack improves|The number of attacks increases to three.
SIDEKICKFEATURE|Warrior|16|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Warrior|18|Indomitable improves|Indomitable can be used twice between long rests.
SIDEKICKFEATURE|Warrior|19|Ability Score Improvement|Raise one ability by 2, or two abilities by 1, to a maximum of 20.
SIDEKICKFEATURE|Warrior|20|Second Wind improves|Second Wind can be used twice between rests.

# PROGRESSION | key | one number per level, 0 through 20
PROGRESSION|sidekick spellcaster cantrips|0,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
PROGRESSION|sidekick spellcaster spells known|0,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11

# CONDITION | name | what it does, one effect per '|'
CONDITION|Blinded|You cannot see, and automatically fail any ability check that needs sight\|Attacks against you have advantage, and your attacks have disadvantage
CONDITION|Charmed|You cannot attack the charmer or target them with a harmful ability or magical effect\|The charmer has advantage on ability checks to interact with you socially
CONDITION|Deafened|You cannot hear, and automatically fail any ability check that needs hearing
CONDITION|Frightened|You have disadvantage on ability checks and attack rolls while the source of your fear is in line of sight\|You cannot willingly move closer to it
CONDITION|Grappled|Your speed becomes 0 and cannot be raised by any bonus\|It ends if the grappler is incapacitated, or if an effect puts you out of the grappler's reach
CONDITION|Incapacitated|You cannot take actions or reactions
CONDITION|Invisible|You cannot be seen without magic or a special sense, and count as heavily obscured for hiding; noise and tracks still give you away\|Attacks against you have disadvantage, and your attacks have advantage
CONDITION|Paralyzed|You are incapacitated, and cannot move or speak\|You automatically fail Strength and Dexterity saving throws\|Attacks against you have advantage, and any hit from within 5 feet is a critical hit
CONDITION|Petrified|You and your nonmagical gear turn to solid inanimate substance, ten times the weight, and you stop ageing\|You are incapacitated, cannot move or speak, and are unaware of your surroundings\|You automatically fail Strength and Dexterity saving throws, and attacks against you have advantage\|You resist all damage and are immune to poison and disease, though anything already in you is suspended rather than cured
CONDITION|Poisoned|You have disadvantage on attack rolls and ability checks
CONDITION|Prone|Your only movement is to crawl, until you stand up and end the condition\|You have disadvantage on attack rolls\|Attacks against you have advantage from within 5 feet and disadvantage from further away
CONDITION|Restrained|Your speed becomes 0 and cannot be raised by any bonus\|Attacks against you have advantage, and your attacks have disadvantage\|You have disadvantage on Dexterity saving throws
CONDITION|Stunned|You are incapacitated, cannot move, and can speak only falteringly\|You automatically fail Strength and Dexterity saving throws\|Attacks against you have advantage
CONDITION|Unconscious|You are incapacitated, cannot move or speak, and are unaware of your surroundings\|You drop what you are holding and fall prone\|You automatically fail Strength and Dexterity saving throws\|Attacks against you have advantage, and any hit from within 5 feet is a critical hit
CONDITION|Exhaustion|Measured in six levels, and you suffer your level's effect and every lower one\|1: disadvantage on ability checks\|2: speed halved\|3: disadvantage on attack rolls and saving throws\|4: hit point maximum halved\|5: speed reduced to 0\|6: death\|A long rest with food and drink reduces it by one level

# LIFETABLE | name | die

# LIFEROW | table | lowest roll | highest roll | text
LIFETABLE|Birthplace|d100
LIFEROW|Birthplace|1|50|Home
LIFEROW|Birthplace|51|55|Home of a family friend
LIFEROW|Birthplace|56|63|Home of a healer or midwife
LIFEROW|Birthplace|64|65|Carriage, cart, or wagon
LIFEROW|Birthplace|66|68|Barn, shed, or other outbuilding
LIFEROW|Birthplace|69|70|Cave
LIFEROW|Birthplace|71|72|Field
LIFEROW|Birthplace|73|74|Forest
LIFEROW|Birthplace|75|77|Temple
LIFEROW|Birthplace|78|78|Battlefield
LIFEROW|Birthplace|79|80|Alley or street
LIFEROW|Birthplace|81|82|Brothel, tavern, or inn
LIFEROW|Birthplace|83|84|Castle, keep, tower, or palace
LIFEROW|Birthplace|85|85|Sewer or rubbish heap
LIFEROW|Birthplace|86|88|Among people of a different race
LIFEROW|Birthplace|89|91|On board a boat or a ship
LIFEROW|Birthplace|92|93|In a prison or in the headquarters of a secret organization
LIFEROW|Birthplace|94|95|In a sages laboratory
LIFEROW|Birthplace|96|96|In the Feywild
LIFEROW|Birthplace|97|97|In the Shadowfell
LIFEROW|Birthplace|98|98|On the Astral Plane or the Ethereal Plane
LIFEROW|Birthplace|99|99|On an Inner Plane of your choice
LIFEROW|Birthplace|100|100|On an Outer Plane of your choice
LIFETABLE|Number of siblings|d10
LIFEROW|Number of siblings|1|2|None
LIFEROW|Number of siblings|3|4|1d3
LIFEROW|Number of siblings|5|6|1d4+1
LIFEROW|Number of siblings|7|8|1d6+2
LIFEROW|Number of siblings|9|10|1d8 +3
LIFETABLE|Birth order|2d6
LIFEROW|Birth order|2|2|Twin, triplet, or quadruplet
LIFEROW|Birth order|3|7|Older
LIFEROW|Birth order|8|12|Younger
LIFETABLE|Who raised you|d100
LIFEROW|Who raised you|1|1|None
LIFEROW|Who raised you|2|2|Institution, such as an asylum
LIFEROW|Who raised you|3|3|Temple
LIFEROW|Who raised you|4|5|Orphanage
LIFEROW|Who raised you|6|7|Guardian
LIFEROW|Who raised you|8|15|Paternal or maternal aunt, uncle, or both; or extended family such as a tribe or clan
LIFEROW|Who raised you|16|25|Paternal or maternal grandparent(s)
LIFEROW|Who raised you|26|35|Adoptive family (same or different race)
LIFEROW|Who raised you|36|55|Single father or stepfather
LIFEROW|Who raised you|56|75|Single mother or stepmother
LIFEROW|Who raised you|76|100|Mother and father
LIFETABLE|The absent parent|d4
LIFEROW|The absent parent|1|1|Your parent died (roll on the Cause of Death supplemental table)
LIFEROW|The absent parent|2|2|Your parent was imprisoned, enslaved, or otherwise taken away
LIFEROW|The absent parent|3|3|Your parent abandoned you
LIFEROW|The absent parent|4|4|Your parent disappeared to an unknown fate
LIFETABLE|Family lifestyle|3d6
LIFEROW|Family lifestyle|3|3|Wretched (-40)
LIFEROW|Family lifestyle|4|5|Squalid (-20)
LIFEROW|Family lifestyle|6|8|Poor (-10)
LIFEROW|Family lifestyle|9|12|Modest (+0)
LIFEROW|Family lifestyle|13|15|Comfortable (+10)
LIFEROW|Family lifestyle|16|17|Wealthy (+20)
LIFEROW|Family lifestyle|18|18|Aristocratic (+40)
LIFETABLE|Childhood home|3d6
LIFEROW|Childhood home|1|20|Rundown shack
LIFEROW|Childhood home|21|30|No permanent residence; you moved around a lot
LIFEROW|Childhood home|31|40|Encampment or village in the wilderness
LIFEROW|Childhood home|41|50|Apartment in a rundown neighborhood
LIFEROW|Childhood home|51|70|Small house
LIFEROW|Childhood home|71|90|Large house
LIFEROW|Childhood home|91|110|Mansion ll orhigher Palace or castle style table to arrive at the result
LIFETABLE|Childhood memories|3d6
LIFEROW|Childhood memories|3|3|I amstill haunted by my childhood, when I was treated badly by my peers
LIFEROW|Childhood memories|4|5|I spent most of my childhood alone, with no close friends
LIFEROW|Childhood memories|6|8|Others saw me as being different or strange, and so I had few companions
LIFEROW|Childhood memories|9|12|I had a few close friends and lived an ordinary childhood jah
LIFEROW|Childhood memories|13|15|I had several friends, and my childhood was generally a happy one
LIFEROW|Childhood memories|16|17|I always found it easy to make friends, and I loved being around people
LIFEROW|Childhood memories|18|18|Everyone knew who I was, and I had friends everywhere I went
LIFEROW|Childhood memories|64|64|NX CHAPTER 1 I'CHARACTER OPTIONS
LIFETABLE|Occupation|d100
LIFEROW|Occupation|1|5|Academic
LIFEROW|Occupation|6|10|Adventurer (roll on the Class table) an Aristocrat
LIFEROW|Occupation|11|11|Aristocrat
LIFEROW|Occupation|12|26|Artisan or guild member
LIFEROW|Occupation|27|31|Criminal
LIFEROW|Occupation|32|36|Entertainer
LIFEROW|Occupation|37|38|Exile, hermit, or refugee
LIFEROW|Occupation|39|43|Explorer or wanderer
LIFEROW|Occupation|44|55|Farmer or herder
LIFEROW|Occupation|56|60|Hunter or trapper
LIFEROW|Occupation|61|75|Laborer
LIFEROW|Occupation|76|80|Merchant
LIFEROW|Occupation|81|85|Politician or bureaucrat
LIFEROW|Occupation|86|90|Priest
LIFEROW|Occupation|91|95|Sailor
LIFEROW|Occupation|96|100|Soldier es
LIFETABLE|Status|3d6
LIFEROW|Status|3|3|Dead (roll on the Cause of Death table)
LIFEROW|Status|4|5|Missing or unknown
LIFEROW|Status|6|8|Alive, but doing poorly due to injury, financial trouble, or relationship difficulties
LIFEROW|Status|9|12|Alive and well
LIFEROW|Status|13|15|Alive and quite successful
LIFEROW|Status|16|17|Alive and infamous
LIFEROW|Status|18|18|Alive and famous collection of facts and notes that-at a minimum-encapsulate what your character has been doing in the world
LIFETABLE|Relationship|3d4
LIFEROW|Relationship|3|4|Hostile
LIFEROW|Relationship|5|10|Friendly
LIFEROW|Relationship|11|12|Indifferent
LIFETABLE|Life events|d100
LIFEROW|Life events|1|10|You suffered a tragedy (roll on the Tragedies table)
LIFEROW|Life events|11|20|You gained a bit of good fortune (roll on the Boons table)
LIFEROW|Life events|21|30|You fell in love or got married; a repeat result may be a child instead
LIFEROW|Life events|31|40|You made an enemy of an adventurer; roll a d6, an odd number meaning the rift was your doing
LIFEROW|Life events|41|50|You made a friend of an adventurer
LIFEROW|Life events|51|70|You spent time working at a job related to your background, and start with an extra 2d6 gp
LIFEROW|Life events|71|75|You met someone important
LIFEROW|Life events|76|80|You went on an adventure (roll on the Adventures table)
LIFEROW|Life events|81|85|You had a supernatural experience (roll on the Supernatural Events table)
LIFEROW|Life events|86|90|You fought in a battle (roll on the War table)
LIFEROW|Life events|91|95|You committed a crime or were wrongly accused of one (roll on the Crime and Punishment tables)
LIFEROW|Life events|96|99|You encountered something magical (roll on the Arcane Matters table)
LIFEROW|Life events|100|100|Something truly strange happened to you (roll on the Weird Stuff table)
LIFETABLE|Alignment of a person in your life|3d6
LIFEROW|Alignment of a person in your life|3|3|Chaotic evil (50%) or chaotic neutral (50%)
LIFEROW|Alignment of a person in your life|4|5|Lawful evil
LIFEROW|Alignment of a person in your life|6|8|Neutral evil
LIFEROW|Alignment of a person in your life|9|12|Neutral
LIFEROW|Alignment of a person in your life|13|15|Neutral good
LIFEROW|Alignment of a person in your life|16|17|Lawful good (50%) or lawful neutral (50%)
LIFEROW|Alignment of a person in your life|18|18|Chaotic good (50%) or chaotic neutral (50%)
